Key,English
[35bd00]Green[-]
[f21b10]Red[-]
[fff700]Yellow[-]


jz_QZSoldierRadiated,"Security Soldier"

ttLevelUp,"You have leveled up! +1Wellness +1Max Hunger +1Max Thirst"
BUFF_________________________XML,BUFF_________________________XML

jz_BuffSnakeBiteDesc,"A snake bit and poisoned you and now your limping. You will need to find or make some [35bd00]Anti-Venom[-] or you will get very ill. [35bd00]Anti-Venom[-] can be crafted on the Campfire with a Venom Gland from a poisonous animal\n\nEffects:\n-1 Wellness\n-2 Stamina per Second\n-5% Mobility\n-5 Cold Resistance"
jz_BuffSnakeBiteLvTwoDesc,"Your snake bite is getting worse and the venom is spreading. You need to get some [35bd00]Anti-Venom[-] soon. [35bd00]Anti-Venom[-] can be crafted on the Campfire with a Venom Gland from a poisonous animal\n\nEffects:\n-2 Wellness\n-3 Stamina per Second\n-15% Mobility\n-15 Cold Resistance"
jz_BuffSnakeBiteLvThreeDesc,"The snake venom is coursing through your veins. If you can last the day you might just live. Or you can find or make some [35bd00]Anti-Venom[-].[35bd00]Anti-Venom[-] can be crafted on the Campfire with a Venom Gland from a poisonous animal\n\nEffects:\n-3 Wellness\n-5 Stamina per Second\n-50% Mobility\n-25 Cold Resistance"
jz_buffStatusThirsty03Desc,"You are dying of dehydration! Find something to drink!\nHealth and stamina are recovering slower.\nEffects:\n-1 Wellness every 5 min\nYour maximum stamina is lowered by {cvar($buffStatusThirstyBlockage:0.0)}."
jz_buffStatusHungry03Desc,"You are dying of starvation. You need to find something to eat.\nEffects:\n-1 Wellness every 5 min\nYour maximum stamina is lowered by {cvar($buffStatusHungryBlockage:0.0)}."
jz_buffInfectionCureDisplayName,"Antiviral Medicine"
jz_buffInfection01UntreatedName,"Early Z-Virus Infection"
jz_buffInfection02UntreatedName,"Advanced Z-Virus Infection"
jz_buffInfection03UntreatedName,"Severe Z-Virus Infection"
jz_buffInfection02GetBetterName,"Treated Z-Virus Infection"
jz_buffInfection03GetBetterName,"Treated Severe Z-VirusInfection"
jz_BuffExhaustedDesc,"Your high Fatigue level is sapping your energy, rest on furniture or sleep on a bed to lower your Fatigue" 
jz_BuffBadDietDesc,"Your diet is not very healthy and it’s starting to affect you. Try eating foods that contains all the vitamin groups.\n\n-1 Stamina per 5 sec"
jz_BuffVitaminDeficiencyDesc,"Your poor diet means you're not getting all the nutrition you need and its slowing you down. Cook and eat meals that contains all the vitamin groups to improve your diet.\n\n-1 Stamina per 4 sec\n-5% Mobility"
jz_BuffCharismaticNatureOneDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina" 
jz_BuffCharismaticNatureTwoDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina\n+20% Damage"
jz_BuffCharismaticNatureThreeDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina\n+20% Damage\n-10% Health Loss"
jz_BuffCharismaticNatureFourDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina\n+20% Damage\n-10% Health Loss\n+5% Mobility"
jz_BuffWarningStageScurvyDesc,"Your diet is lacking in foods that contain Essential Vitamins and it’s starting to affect your health badly. You are showing the warning signs of Scurvy. Eat more foods that contain Essential Vitamins to heal from this.\n\nEffects:\n5% Slower Stamina Recovery\n5% more Encumbrance Effect"
jz_BuffIllnessScurvyDesc,"Your diet is severely lacking in Essential Vitamins and it’s making you ill. You are suffering from Scurvy. Eat more foods that contain Essential Vitamins to heal from this.\n\nEffects:\n20% Slower Stamina Recovery\n20% more Encumbrance Effect"
jz_BuffWarningStageDiarrheaDesc,"Your over consumption of foods containing Essential Vitamins is starting to affect your health badly. You are showing the warning signs of Diarrhea. Eat less foods that contain Essential Vitamins to heal from this.\n\nEffects:\n5% Faster Hydration Loss\nLow Chance to loudly Vomit and or stop and relieve yourself"
jz_BuffIllnessDiarrheaDesc,"Your over consumption of foods containing Essential Vitamins is making you ill. You are suffering from Diarrhea. Eat less foods that contain Essential Vitamins to heal from this.\n\nEffects:\n20% Faster Hydration Loss\nHigh Chance to loudly Vomit and or stop and relieve yourself"
jz_BuffWarningStageAnemiaDesc,"Your diet is lacking in foods that contain Protein and it’s starting to affect your health badly. You are showing the warning signs of Anemia. Eat more foods that contain Protein to heal from this.\n\nEffects:\n5% Fatigue Blockage\n-4 Hypothermal Resist"
jz_BuffIllnessAnemiaDesc,"Your diet is severely lacking in Protein and it’s making you ill. You are suffering from Anemia. Eat more foods that contain Protein to heal from this.\n\nEffects:\n20% Fatigue Blockage\n-15 Hypothermal Resist"
jz_BuffWarningStageGoutDesc,"Your over consumption of foods containing Protein is starting to affect your health badly. You are showing the warning signs of Gout. Eat less foods that contain Protein to heal from this.\n\nEffects:\n3% Slower Mobility\nLow Chance to loudly scream in pain and or limp"
jz_BuffIllnessGoutDesc,"Your over consumption of foods containing Protein is making you ill. You are suffering from Gout. Eat less foods that contain Protein to heal from this.\n\nEffects:\n10% Slower Mobility\nHigh Chance to loudly scream in pain and or limp"
jz_BuffWarningStageConstipationDesc,"Your over consumption of foods containing Fiber is starting to affect your health badly. You are showing the warning signs of Constipation. Eat less foods that contain Fiber to heal from this.\n\nEffects:\n-2 Carrying Capacity\nLow Chance to loudly scream in pain" 
jz_BuffIllnessConstipationDesc,"Your over consumption of foods containing Fiber is making you ill. You are suffering from Constipation. Eat less foods that contain Fiber to heal from this.\n\nEffects:\n-8 Carrying Capacity\nHigh Chance to loudly scream in pain" 
jz_BuffWarningStageWeakDesc,"Your diet is lacking in foods that contain Fiber and it’s starting to affect your health badly. You are starting to feel a little Weak. Eat more foods that contain Fiber to heal from this.\n\nEffects:\n5% More Stamina Loss\nTo Weak to use Two Handed Weapons"
jz_BuffStageWeakDesc,"Your diet is severely lacking in Fiber and it’s making you ill. You are suffering from Weakness. Eat more foods that contain Fiber to heal from this.\n\nEffects:\n20% More Stamina Loss\nTo Weak to use Two Handed Weapons\nTo Weak to use Power Attacks"
jz_BuffZombieBiteBleedingDesc,"You have suffered a [f21b10]Zombie Bite[-] and are bleeding badly. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]"
jz_BuffDirtyZombieBiteCauterizeDesc,"Now that you have treated the bleed you will need to cauterize the [f21b10]Zombie Bite[-] with a [35bd00]Red Hot Pipe[-] to close the wound. If not treated it will lead to a [f21b10]Medical Infection[-]"
jz_BuffDirtyZombieBiteBurnDesc,"The [f21b10]Zombie Bite[-] is cauterized but now the burn must be treated with a [35bd00]First Aid Bandage[-]. If not treated it will lead to a [f21b10]Medical Infection[-]"
jz_BuffZombieBiteTendedDesc,"The [f21b10]Zombie Bite[-] is bandaged and healing. After some time you will need to cleanse and rebandage the wound."
jz_BuffZombieBiteDirtyNeedsCleansingDesc,"Your bandage has gotten dirty and needs to be changed. First you will need to use a [35bd00]Cleansing Wash[-] to clean the wound. If not treated it will lead to a [f21b10]Medical Infection[-]"
jz_BuffZombieBiteDirtyNeedsBandageDesc,"Now that your [f21b10]Zombie Bite[-] wound is clean you will need to treat it with a [35bd00]First Aid Bandage[-]. If not treated it will lead to a [f21b10]Medical Infection[-]"
jz_BuffZombieBiteTendedBDesc,"The [f21b10]Zombie Bite[-] is bandaged and healing. After some time you will need to re-bandage it to allow it to continue healing."
jz_BuffZombieBiteDirtyNeedsBandageBDesc,"Your bandage has gotten dirty and needs to be changed. You will need to use a [35bd00]Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]"
jz_BuffZombieBiteTendedCDesc,"The [f21b10]Zombie Bite[-] is bandaged. Try not to hurt it so it will finish healing."
jz_BuffInfection01GetBetterDesc,"You have a treated [f21b10]Z-Virus[-] infection. Continue medication until infection is cleared up."
jz_BuffInfection01UntreatedDesc,"You have the [f21b10]Z-Virus[-] infection.\nIt will get worse until treated with [35bd00]AntiVirals[-].\nGetting bitten by zombies will make the infection worse. If the infection reaches 100% you will die and not be able to respawn."
jz_BuffInfection02GetBetterDesc,"You have a treated serious [f21b10]Z-Virus[-]. Continue medication and keep an eye on the wound.\nGetting bitten by zombies will make the infection worse.\n\nStamina Regeneration -12.5%"
jz_BuffInfection02UntreatedDesc,"You have a serious [f21b10]Z-Virus[-] infection. If left untreated it could lead to full infection which can cause permanent player death. Take [35bd00]AntiVirals[-] as soon as possible.\nGetting bitten by zombies will make the infection worse. If the infection reaches 100% you will die and not be able to respawn.\n\nStamina Regeneration -25%"
jz_BuffInfection03GetBetterDesc,"You have a treated life threatening [f21b10]Z-Virus[-] infection. Continue Medication and avoid bites from the infected. If the infection reaches 100% you will die and not be able to respawn.\n\nStamina Regeneration -17%"
jz_BuffInfection03UntreatedDesc,"You have a life threatening [f21b10]Z-Virus[-] infection. Take [35bd00]AntiVirals[-] immediately.\n\nStamina Regeneration -35%\nAll Attributes -1"
jz_BuffInfectionCureDisplayDesc,"You have taken [35bd00]AntiViral[-] medicine which will reduce the amount of [f21b10]Z-Virus[-] infection that you may be suffering from. You can stack [35bd00]AntiViral[-] medicines to increase duration."
jz_BuffMedicalInfectionCureDisplayName,"Antibiotic Medicine"
jz_BuffMedicalInfectionCureDisplayDesc,"You have taken [35bd00]Antibiotics[-] medicine which will reduce [f21b10]Medical Infection[-] that you may be suffering. You can stack [35bd00]Antibiotics[-] medicines to increase duration."
jz_BuffMedicalInfection01UntreatedDesc,"You have a mild [f21b10]Medical Infection[-].\nIt will get worse until treated by [35bd00]Antibiotics[-].\nTend to your wounds timely or they could increase your infection. If the infection reaches 100% you will die and not be able to respawn."
jz_BuffMedicalInfection01UntreatedName,"Mild Medical Infection"
jz_BuffMedicalInfection01GetBetterName,"Treated Medical Infection"
jz_BuffMedicalInfection01GetBetterDesc,"You have a treated mild [f21b10]Medical Infection[-]. Continue medication until infection is cleared up.\nTend to your wounds timely or they could increase your infection."
jz_BuffMedicalInfection02UntreatedName,"Medical Infection"
jz_BuffMedicalInfection02UntreatedDesc,"You have a serious [f21b10]Medical Infection[-]. If left untreated it could lead to full infection which can cause permanent player death. Take [35bd00]Antibiotics[-] as soon as possible.\nTend to your wounds timely or they could increase your infection. If the infection reaches 100% you will die and not be able to respawn.\n\nStamina Regeneration -25%"
jz_BuffMedicalInfection02GetBetterName,"Treated Medical Infection"
jz_BuffMedicalInfection02GetBetterDesc,"You have a treated serious [f21b10]Medical Infection[-]. Continue medication and tend to your wounds timely or they could increase your infection.\n\nStamina Regeneration -12.5%"
jz_BuffMedicalInfection03UntreatedName,"Severe Medical Infection"
jz_BuffMedicalInfection03UntreatedDesc,"You have a life threatening severe [f21b10]Medical Infection[-]. Take [35bd00]Antibiotics[-] immediately. If the infection reaches 100% you will die and not be able to respawn.\n\nStamina Regeneration -35%
jz_BuffMedicalInfection03GetBetterName,"Treated Severe Medical Infection"
jz_BuffMedicalInfection03GetBetterDesc,"You have a treated life threatening severe [f21b10]Medical Infection[-]. Continue medication and tend to your wounds timely or they could increase your infection.\n\nStamina Regeneration -17%"
jz_BuffMedicalInfection04Tooltip,"You have died from an infection"
jz_BuffPuncturedDesc,"You have a deep [f21b10]Puncture Wound[-]. You’re going to need a [35bd00]Sanitize Bandage[-] to clean and pack the hole\n-10% Mobility\n-1HP per 20sec\n-1 Wellness"
jz_BuffThrobbingPainDesc,"OOww! That hurts take some [35bd00]Painkillers[-] to relieve the pain\n\n-1 Stamina every 5 sec\n+10 Core Temp"
jz_BuffGangreneWoundDesc,"Your wound has become [f21b10]Gangrene[-]. The only option you have is to cut off the dead tissue, this will leave you permanently scared. Use a bladed weapon to cute away the [f21b10]Gangrene[-] tissue. You will then have to treat and care for the remaining wound\n\n-4 Stamina every 1 sec\n-1 Health every 10 sec\n-12% Mobility\n-1 Wellness every 1 min\n30% more Health Loss\nUntil Treated"
jz_BuffTendingEDesc,"Your [f21b10]Severe Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Sanitizing Bandage[-] when it gets dirty so it does not get worse..\n\n-1 Stamina every 4 sec\n-6% Mobility\n12% more Health Loss"
jz_BuffDirtyBandageEDesc,"Your [f21b10]Severe Wounds[-] bandage is dirty and starting to smell. Change it with another [35bd00]Sanitizing Bandage[-] soon or it could get worse.\n\n-2 Stamina every 1 sec\n-8% Mobility\n18% more Health Loss\nUntil Treated"
